2025-03-17 18:21:29,530 INFO    MainThread:4952 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250317_182129-vwegn3yo\logs\debug.log
2025-03-17 18:21:29,531 INFO    MainThread:4952 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250317_182129-vwegn3yo\logs\debug-internal.log
2025-03-17 18:21:29,531 INFO    MainThread:4952 [wandb_init.py:init():761] calling init triggers
2025-03-17 18:21:29,531 INFO    MainThread:4952 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-17 18:21:29,531 INFO    MainThread:4952 [wandb_init.py:init():784] starting backend
2025-03-17 18:21:29,531 INFO    MainThread:4952 [wandb_init.py:init():788] sending inform_init request
2025-03-17 18:21:29,533 INFO    MainThread:4952 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-17 18:21:29,533 INFO    MainThread:4952 [wandb_init.py:init():798] backend started and connected
2025-03-17 18:21:29,534 INFO    MainThread:4952 [wandb_init.py:init():891] updated telemetry
2025-03-17 18:21:29,577 INFO    MainThread:4952 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 18:21:30,033 INFO    MainThread:4952 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 18:21:30,175 INFO    MainThread:4952 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 18:21:30,176 INFO    MainThread:4952 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 18:21:30,176 INFO    MainThread:4952 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 18:21:30,176 INFO    MainThread:4952 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 18:21:30,176 INFO    MainThread:4952 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 18:21:30,755 INFO    MainThread:4952 [wandb_run.py:_finish():2112] finishing run teja_sai-indian-institute-of-technology-madras/Fashion_mnist_sweep_backprop/vwegn3yo
2025-03-17 18:21:30,755 INFO    MainThread:4952 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 18:21:30,755 INFO    MainThread:4952 [wandb_run.py:_restore():2322] restore
2025-03-17 18:21:30,755 INFO    MainThread:4952 [wandb_run.py:_restore():2328] restore done
2025-03-17 18:21:32,746 INFO    MainThread:4952 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 18:21:32,746 INFO    MainThread:4952 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 18:21:32,746 INFO    MainThread:4952 [wandb_run.py:_footer_sync_info():3917] logging synced files
