2025-03-17 23:36:03,970 INFO    MainThread:13180 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 23:36:03,971 INFO    MainThread:13180 [wandb_setup.py:_flush():67] Configure stats pid to 13180
2025-03-17 23:36:03,971 INFO    MainThread:13180 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-03-17 23:36:03,971 INFO    MainThread:13180 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\settings
2025-03-17 23:36:03,971 INFO    MainThread:13180 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 23:36:03,971 INFO    MainThread:13180 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250317_233603-8ksm2a1h\logs\debug.log
2025-03-17 23:36:03,972 INFO    MainThread:13180 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250317_233603-8ksm2a1h\logs\debug-internal.log
2025-03-17 23:36:03,972 INFO    MainThread:13180 [wandb_init.py:init():761] calling init triggers
2025-03-17 23:36:03,972 INFO    MainThread:13180 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-17 23:36:03,972 INFO    MainThread:13180 [wandb_init.py:init():784] starting backend
2025-03-17 23:36:03,972 INFO    MainThread:13180 [wandb_init.py:init():788] sending inform_init request
2025-03-17 23:36:04,015 INFO    MainThread:13180 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-17 23:36:04,015 INFO    MainThread:13180 [wandb_init.py:init():798] backend started and connected
2025-03-17 23:36:04,017 INFO    MainThread:13180 [wandb_init.py:init():891] updated telemetry
2025-03-17 23:36:04,074 INFO    MainThread:13180 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 23:36:04,572 INFO    MainThread:13180 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 23:36:04,810 INFO    MainThread:13180 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 23:36:04,810 INFO    MainThread:13180 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 23:36:04,810 INFO    MainThread:13180 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 23:36:04,810 INFO    MainThread:13180 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 23:36:04,815 INFO    MainThread:13180 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 23:36:06,126 INFO    MsgRouterThr:13180 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
